Date_clean,Month,Year,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,nombre,name,nom,iso2,iso3,phone_code
1895-09-18,9,1895,Sea Disaster,Cuba,boating,M,,injury,,,Cuba,Cuba,Cuba,CU,CUB,53
1895-09-01,9,1895,Provoked,United States of America,fishing,,,no injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1895-08-11,8,1895,Unprovoked,United States of America,swimming,M,26.0,fatal,Y,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1895-08-02,8,1895,Unprovoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1895-06-03,6,1895,Unprovoked,Australia,diving,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1895-05-21,5,1895,Sea Disaster,Bahamas,sea disaster,M,,injury,N,,Bahamas,Bahamas,Bahamas,BS,BHS,1 242
1895-05-03,5,1895,Unprovoked,New Zealand,boating,M,,fatal,Y,,Nueva Zelanda,New Zealand,Nouvelle-Zélande,NZ,NZL,64
1895-04-23,4,1895,Unprovoked,New Zealand,swimming,M,,injury,N,,Nueva Zelanda,New Zealand,Nouvelle-Zélande,NZ,NZL,64
1895-03-29,3,1895,Unprovoked,Indonesia,swimming,M,,fatal,Y,,Indonesia,Indonesia,Indonésie,ID,IDN,62
1895-03-15,3,1895,Unprovoked,Australia,swimming,M,13.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1895-02-27,2,1895,Unprovoked,Australia,swimming,M,14.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1894-12-11,12,1894,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1894-11-28,11,1894,Unprovoked,Australia,swimming,M,19.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
1894-10-06,10,1894,Unprovoked,United States of America,swimming,M,,fatal,Y,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1894-09-12,9,1894,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1894-09-01,9,1894,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1894-08-21,8,1894,Unprovoked,United States of America,swimming,F,,no injury,UNKNOWN,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1894-08-01,8,1894,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1894-06-25,6,1894,Unprovoked,South Africa,swimming,M,,fatal,Y,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1894-06-15,6,1894,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
